"Statistic Label","Census Year","CSO Small Areas 2022","Age","Sex","UNIT","VALUE"
"Population","2022","147005003","Age 0-4","Males","Number","10"
"Population","2022","147005003","Age 0-4","Females","Number","11"
"Population","2022","147005003","Age 0-4","Both Sexes","Number","21"
"Population","2022","247091008","Age 0-4","Males","Number","6"
"Population","2022","247091008","Age 0-4","Females","Number","10"
"Population","2022","247091008","Age 0-4","Both Sexes","Number","16"
"Population","2022","057103001","Age 0-4","Males","Number","5"
"Population","2022","057103001","Age 0-4","Females","Number","7"
"Population","2022","057103001","Age 0-4","Both Sexes","Number","12"
"Population","2022","027053002","Age 0-4","Males","Number","9"
"Population","2022","027053002","Age 0-4","Females","Number","5"
"Population","2022","027053002","Age 0-4","Both Sexes","Number","14"
"Population","2022","217041003","Age 0-4","Males","Number","4"
"Population","2022","217041003","Age 0-4","Females","Number","2"
"Population","2022","217041003","Age 0-4","Both Sexes","Number","6"
"Population","2022","267065001/02","Age 0-4","Males","Number","27"
"Population","2022","267065001/02","Age 0-4","Females","Number","30"
"Population","2022","267065001/02","Age 0-4","Both Sexes","Number","57"
"Population","2022","228021001","Age 0-4","Males","Number","8"
"Population","2022","228021001","Age 0-4","Females","Number","5"
"Population","2022","228021001","Age 0-4","Both Sexes","Number","13"
"Population","2022","027092014","Age 0-4","Males","Number","7"
"Population","2022","027092014","Age 0-4","Females","Number","11"
"Population","2022","027092014","Age 0-4","Both Sexes","Number","18"
"Population","2022","087034010","Age 0-4","Males","Number","10"
"Population","2022","087034010","Age 0-4","Females","Number","6"
"Population","2022","087034010","Age 0-4","Both Sexes","Number","16"
"Population","2022","067138002","Age 0-4","Males","Number","9"
"Population","2022","067138002","Age 0-4","Females","Number","8"
"Population","2022","067138002","Age 0-4","Both Sexes","Number","17"
"Population","2022","228038001","Age 0-4","Males","Number","3"
"Population","2022","228038001","Age 0-4","Females","Number","8"
"Population","2022","228038001","Age 0-4","Both Sexes","Number","11"
"Population","2022","048042016","Age 0-4","Males","Number","2"
"Population","2022","048042016","Age 0-4","Females","Number","5"
"Population","2022","048042016","Age 0-4","Both Sexes","Number","7"
"Population","2022","257036002","Age 0-4","Males","Number","9"
"Population","2022","257036002","Age 0-4","Females","Number","7"
"Population","2022","257036002","Age 0-4","Both Sexes","Number","16"
"Population","2022","268122003","Age 0-4","Males","Number","22"
"Population","2022","268122003","Age 0-4","Females","Number","28"
"Population","2022","268122003","Age 0-4","Both Sexes","Number","50"
"Population","2022","027027001","Age 0-4","Males","Number","7"
"Population","2022","027027001","Age 0-4","Females","Number","6"
"Population","2022","027027001","Age 0-4","Both Sexes","Number","13"
"Population","2022","047064003","Age 0-4","Males","Number","5"
"Population","2022","047064003","Age 0-4","Females","Number","6"
"Population","2022","047064003","Age 0-4","Both Sexes","Number","11"
"Population","2022","087011005","Age 0-4","Males","Number","20"
"Population","2022","087011005","Age 0-4","Females","Number","19"
"Population","2022","087011005","Age 0-4","Both Sexes","Number","39"
"Population","2022","207060006","Age 0-4","Males","Number","5"
"Population","2022","207060006","Age 0-4","Females","Number","6"
"Population","2022","207060006","Age 0-4","Both Sexes","Number","11"
"Population","2022","037083001/037083002","Age 0-4","Males","Number","3"
"Population","2022","037083001/037083002","Age 0-4","Females","Number","6"
"Population","2022","037083001/037083002","Age 0-4","Both Sexes","Number","9"
"Population","2022","268098009","Age 0-4","Males","Number","2"
"Population","2022","268098009","Age 0-4","Females","Number","5"
"Population","2022","268098009","Age 0-4","Both Sexes","Number","7"
"Population","2022","267037003","Age 0-4","Males","Number","5"
"Population","2022","267037003","Age 0-4","Females","Number","5"
"Population","2022","267037003","Age 0-4","Both Sexes","Number","10"
"Population","2022","268032004","Age 0-4","Males","Number","4"
"Population","2022","268032004","Age 0-4","Females","Number","6"
