"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Persons of all ages","2022","Agha, Carlow","Number","419"
"Persons of all ages","2022","Ballinacarrig, Carlow","Number","1122"
"Persons of all ages","2022","Ballintemple, Carlow","Number","599"
"Persons of all ages","2022","Ballon, Carlow","Number","788"
"Persons of all ages","2022","Ballyellin, Carlow","Number","451"
"Persons of all ages","2022","Ballymoon, Carlow","Number","351"
"Persons of all ages","2022","Ballymurphy, Carlow","Number","282"
"Persons of all ages","2022","Borris, Carlow","Number","1084"
"Persons of all ages","2022","Burton Hall, Carlow","Number","529"
"Persons of all ages","2022","Carlow Rural, Carlow","Number","16203"
"Persons of all ages","2022","Carlow Urban, Carlow","Number","5049"
"Persons of all ages","2022","Clogrenan, Carlow","Number","1138"
"Persons of all ages","2022","Clonegall, Carlow","Number","1105"
"Persons of all ages","2022","Clonmore, Carlow","Number","548"
"Persons of all ages","2022","Coonogue, Carlow","Number","211"
"Persons of all ages","2022","Corries, Carlow","Number","560"
"Persons of all ages","2022","Cranemore, Carlow","Number","1218"
"Persons of all ages","2022","Fennagh, Carlow","Number","857"
"Persons of all ages","2022","Garryhill, Carlow","Number","648"
"Persons of all ages","2022","Glynn, Carlow","Number","395"
"Persons of all ages","2022","Graigue Urban, Carlow","Number","1655"
"Persons of all ages","2022","Grangeford, Carlow","Number","589"
"Persons of all ages","2022","Hacketstown, Carlow","Number","1226"
"Persons of all ages","2022","Haroldstown, Carlow","Number","314"
"Persons of all ages","2022","Johnstown, Carlow","Number","610"
"Persons of all ages","2022","Kellistown, Carlow","Number","982"
"Persons of all ages","2022","Kilbride, Carlow","Number","458"
"Persons of all ages","2022","Killedmond, Carlow","Number","458"
"Persons of all ages","2022","Killerrig, Carlow","Number","395"
"Persons of all ages","2022","Kineagh, Carlow","Number","371"
"Persons of all ages","2022","Kyle, Carlow","Number","360"
"Persons of all ages","2022","Leighlinbridge, Carlow","Number","1679"
"Persons of all ages","2022","Marley, Carlow","Number","433"
"Persons of all ages","2022","Muinebeag Rural, Carlow","Number","719"
"Persons of all ages","2022","Muinebeag Urban, Carlow","Number","2945"
"Persons of all ages","2022","Myshall, Carlow","Number","603"
"Persons of all ages","2022","Nurney, Carlow","Number","893"
"Persons of all ages","2022","Oldleighlin, Carlow","Number","606"
"Persons of all ages","2022","Rahill, Carlow","Number","792"
"Persons of all ages","2022","Rathanna, Carlow","Number","137"
"Persons of all ages","2022","Rathornan, Carlow","Number","438"
"Persons of all ages","2022","Rathrush, Carlow","Number","1139"
"Persons of all ages","2022","Rathvilly, Carlow","Number","931"
"Persons of all ages","2022","Ridge, Carlow","Number","298"
"Persons of all ages","2022","Shangarry, Carlow","Number","568"
"Persons of all ages","2022","Sliguff, Carlow","Number","559"
"Persons of all ages","2022","Tankardstown, Carlow","Number","487"
"Persons of all ages","2022","Templepeter, Carlow","Number","470"
"Persons of all ages","2022","Tiknock, Carlow","Number","348"
"Persons of all ages","2022","Tinnahinch, Carlow","Number","654"
"Persons of all ages","2022","Tullow Rural, Carlow","Number","952"
"Persons of all ages","2022","Tullow Urban, Carlow","Number","4397"
"Persons of all ages","2022","Tullowbeg, Carlow","Number","618"
"Persons of all ages","2022","Williamstown, Carlow","Number","327"
"Persons of all ages","2022","Arran Quay A, Dublin City","Number","1784"
"Persons of all ages","2022","Arran Quay B, Dublin City","Number","5529"
"Persons of all ages","2022","Arran Quay C, Dublin City","Number","4646"
"Persons of all ages","2022","Arran Quay D, Dublin City","Number","3308"
"Persons of all ages","2022","Arran Quay E, Dublin City","Number","3377"
"Persons of all ages","2022","Ashtown A, Dublin City","Number","12094"
"Persons of all ages","2022","Ashtown B, Dublin City","Number","2843"
"Persons of all ages","2022","Ayrfield, Dublin City","Number","5863"
"Persons of all ages","2022","Ballybough A, Dublin City","Number","4004"
"Persons of all ages","2022","Ballybough B, Dublin City","Number","4184"
"Persons of all ages","2022","Ballygall A, Dublin City","Number","3602"
"Persons of all ages","2022","Ballygall B, Dublin City","Number","1930"
"Persons of all ages","2022","Ballygall C, Dublin City","Number","3646"
"Persons of all ages","2022","Ballygall D, Dublin City","Number","2526"
"Persons of all ages","2022","Ballymun A, Dublin City","Number","5735"
"Persons of all ages","2022","Ballymun B, Dublin City","Number","4273"
"Persons of all ages","2022","Ballymun C, Dublin City","Number","5729"
"Persons of all ages","2022","Ballymun D, Dublin City","Number","2551"
"Persons of all ages","2022","Ballymun E, Dublin City","Number","1674"
"Persons of all ages","2022","Ballymun F, Dublin City","Number","2359"
"Persons of all ages","2022","Beaumont A, Dublin City","Number","2668"
"Persons of all ages","2022","Beaumont B, Dublin City","Number","5103"
"Persons of all ages","2022","Beaumont C, Dublin City","Number","3382"
"Persons of all ages","2022","Beaumont D, Dublin City","Number","2085"
"Persons of all ages","2022","Beaumont E, Dublin City","Number","1941"
"Persons of all ages","2022","Beaumont F, Dublin City","Number","3893"
"Persons of all ages","2022","Botanic A, Dublin City","Number","3331"
"Persons of all ages","2022","Botanic B, Dublin City","Number","3606"
"Persons of all ages","2022","Botanic C, Dublin City","Number","2362"
"Persons of all ages","2022","Cabra East A, Dublin City","Number","5910"
"Persons of all ages","2022","Cabra East B, Dublin City","Number","3746"
"Persons of all ages","2022","Cabra East C, Dublin City","Number","4239"
"Persons of all ages","2022","Cabra West A, Dublin City","Number","1441"
"Persons of all ages","2022","Cabra West B, Dublin City","Number","2646"
"Persons of all ages","2022","Cabra West C, Dublin City","Number","2883"
"Persons of all ages","2022","Cabra West D, Dublin City","Number","2816"
"Persons of all ages","2022","Carna, Dublin City","Number","2897"
"Persons of all ages","2022","Chapelizod, Dublin City","Number","3397"
"Persons of all ages","2022","Cherry Orchard A, Dublin City","Number","3465"
"Persons of all ages","2022","Cherry Orchard C, Dublin City","Number","4815"
"Persons of all ages","2022","Clontarf East A, Dublin City","Number","3626"
"Persons of all ages","2022","Clontarf East B, Dublin City","Number","7204"
"Persons of all ages","2022","Clontarf East C, Dublin City","Number","3189"
"Persons of all ages","2022","Clontarf East D, Dublin City","Number","2859"
"Persons of all ages","2022","Clontarf East E, Dublin City","Number","1748"
"Persons of all ages","2022","Clontarf West A, Dublin City","Number","3758"
"Persons of all ages","2022","Clontarf West B, Dublin City","Number","2395"
"Persons of all ages","2022","Clontarf West C, Dublin City","Number","4130"
"Persons of all ages","2022","Clontarf West D, Dublin City","Number","2530"
"Persons of all ages","2022","Clontarf West E, Dublin City","Number","2483"
"Persons of all ages","2022","Crumlin A, Dublin City","Number","3657"
"Persons of all ages","2022","Crumlin B, Dublin City","Number","3019"
"Persons of all ages","2022","Crumlin C, Dublin City","Number","2364"
"Persons of all ages","2022","Crumlin D, Dublin City","Number","4190"
"Persons of all ages","2022","Crumlin E, Dublin City","Number","2916"
"Persons of all ages","2022","Crumlin F, Dublin City","Number","3141"
"Persons of all ages","2022","Decies, Dublin City","Number","2713"
"Persons of all ages","2022","Drumcondra South A, Dublin City","Number","5923"
"Persons of all ages","2022","Drumcondra South B, Dublin City","Number","1889"
"Persons of all ages","2022","Drumcondra South C, Dublin City","Number","3337"
"Persons of all ages","2022","Drumfinn, Dublin City","Number","3632"
"Persons of all ages","2022","Edenmore, Dublin City","Number","2831"
"Persons of all ages","2022","Finglas North A, Dublin City","Number","3205"
"Persons of all ages","2022","Finglas North B, Dublin City","Number","2922"
"Persons of all ages","2022","Finglas North C, Dublin City","Number","3678"
"Persons of all ages","2022","Finglas South A, Dublin City","Number","2909"
"Persons of all ages","2022","Finglas South B, Dublin City","Number","4457"
"Persons of all ages","2022","Finglas South C, Dublin City","Number","2566"
"Persons of all ages","2022","Finglas South D, Dublin City","Number","2543"
"Persons of all ages","2022","Grace Park, Dublin City","Number","6272"
"Persons of all ages","2022","Grange A, Dublin City","Number","12598"
"Persons of all ages","2022","Grange B, Dublin City","Number","7438"
"Persons of all ages","2022","Grange C, Dublin City","Number","3086"
"Persons of all ages","2022","Grange D, Dublin City","Number","3952"
"Persons of all ages","2022","Grange E, Dublin City","Number","2578"
"Persons of all ages","2022","Harmonstown A, Dublin City","Number","2848"
"Persons of all ages","2022","Harmonstown B, Dublin City","Number","2921"
"Persons of all ages","2022","Inchicore A, Dublin City","Number","2557"
"Persons of all ages","2022","Inchicore B, Dublin City","Number","2728"
"Persons of all ages","2022","Inns Quay A, Dublin City","Number","4033"
"Persons of all ages","2022","Inns Quay B, Dublin City","Number","4537"
"Persons of all ages","2022","Inns Quay C, Dublin City","Number","3087"
"Persons of all ages","2022","Kilmainham A, Dublin City","Number","2646"
"Persons of all ages","2022","Kilmainham B, Dublin City","Number","2638"
"Persons of all ages","2022","Kilmainham C, Dublin City","Number","4956"
"Persons of all ages","2022","Kilmore A, Dublin City","Number","3678"
"Persons of all ages","2022","Kilmore B, Dublin City","Number","2546"
"Persons of all ages","2022","Kilmore C, Dublin City","Number","1413"
"Persons of all ages","2022","Kilmore D, Dublin City","Number","2149"
"Persons of all ages","2022","Kimmage A, Dublin City","Number","1903"
"Persons of all ages","2022","Kimmage B, Dublin City","Number","3533"
"Persons of all ages","2022","Kimmage C, Dublin City","Number","3738"
"Persons of all ages","2022","Kimmage D, Dublin City","Number","2533"
"Persons of all ages","2022","Kimmage E, Dublin City","Number","3500"
"Persons of all ages","2022","Kylemore, Dublin City","Number","2557"
"Persons of all ages","2022","Mansion House A, Dublin City","Number","4298"
