"STATISTIC Label","Census Year","Electoral Division","Age","Sex","UNIT","VALUE"
"Population","2016","Dangans, Co.Laois, 08054","Age 0-4","Males","Number","89"
"Population","2016","Dangans, Co.Laois, 08054","Age 0-4","Females","Number","67"
"Population","2016","Dangans, Co.Laois, 08054","Age 0-4","Both Sexes","Number","156"
"Population","2016","Dangans, Co.Laois, 08054","Age 5-9","Males","Number","111"
"Population","2016","Dangans, Co.Laois, 08054","Age 5-9","Females","Number","90"
"Population","2016","Dangans, Co.Laois, 08054","Age 5-9","Both Sexes","Number","201"
"Population","2016","Dangans, Co.Laois, 08054","Age 10-14","Males","Number","86"
"Population","2016","Dangans, Co.Laois, 08054","Age 10-14","Females","Number","98"
"Population","2016","Dangans, Co.Laois, 08054","Age 10-14","Both Sexes","Number","184"
"Population","2016","Dangans, Co.Laois, 08054","Age 15-19","Males","Number","76"
"Population","2016","Dangans, Co.Laois, 08054","Age 15-19","Females","Number","73"
"Population","2016","Dangans, Co.Laois, 08054","Age 15-19","Both Sexes","Number","149"
"Population","2016","Dangans, Co.Laois, 08054","Age 20-24","Males","Number","49"
"Population","2016","Dangans, Co.Laois, 08054","Age 20-24","Females","Number","50"
"Population","2016","Dangans, Co.Laois, 08054","Age 20-24","Both Sexes","Number","99"
"Population","2016","Dangans, Co.Laois, 08054","Age 25-29","Males","Number","46"
"Population","2016","Dangans, Co.Laois, 08054","Age 25-29","Females","Number","38"
"Population","2016","Dangans, Co.Laois, 08054","Age 25-29","Both Sexes","Number","84"
"Population","2016","Dangans, Co.Laois, 08054","Age 30-34","Males","Number","41"
"Population","2016","Dangans, Co.Laois, 08054","Age 30-34","Females","Number","80"
"Population","2016","Dangans, Co.Laois, 08054","Age 30-34","Both Sexes","Number","121"
"Population","2016","Dangans, Co.Laois, 08054","Age 35-39","Males","Number","69"
"Population","2016","Dangans, Co.Laois, 08054","Age 35-39","Females","Number","76"
"Population","2016","Dangans, Co.Laois, 08054","Age 35-39","Both Sexes","Number","145"
"Population","2016","Dangans, Co.Laois, 08054","Age 40-44","Males","Number","49"
"Population","2016","Dangans, Co.Laois, 08054","Age 40-44","Females","Number","73"
"Population","2016","Dangans, Co.Laois, 08054","Age 40-44","Both Sexes","Number","122"
"Population","2016","Dangans, Co.Laois, 08054","Age 45-49","Males","Number","59"
"Population","2016","Dangans, Co.Laois, 08054","Age 45-49","Females","Number","68"
"Population","2016","Dangans, Co.Laois, 08054","Age 45-49","Both Sexes","Number","127"
"Population","2016","Dangans, Co.Laois, 08054","Age 50-54","Males","Number","45"
"Population","2016","Dangans, Co.Laois, 08054","Age 50-54","Females","Number","43"
"Population","2016","Dangans, Co.Laois, 08054","Age 50-54","Both Sexes","Number","88"
"Population","2016","Dangans, Co.Laois, 08054","Age 55-59","Males","Number","43"
"Population","2016","Dangans, Co.Laois, 08054","Age 55-59","Females","Number","25"
"Population","2016","Dangans, Co.Laois, 08054","Age 55-59","Both Sexes","Number","68"
"Population","2016","Dangans, Co.Laois, 08054","Age 60-64","Males","Number","16"
"Population","2016","Dangans, Co.Laois, 08054","Age 60-64","Females","Number","19"
"Population","2016","Dangans, Co.Laois, 08054","Age 60-64","Both Sexes","Number","35"
"Population","2016","Dangans, Co.Laois, 08054","Age 65-69","Males","Number","19"
"Population","2016","Dangans, Co.Laois, 08054","Age 65-69","Females","Number","16"
"Population","2016","Dangans, Co.Laois, 08054","Age 65-69","Both Sexes","Number","35"
"Population","2016","Dangans, Co.Laois, 08054","Age 70-74","Males","Number","12"
"Population","2016","Dangans, Co.Laois, 08054","Age 70-74","Females","Number","11"
"Population","2016","Dangans, Co.Laois, 08054","Age 70-74","Both Sexes","Number","23"
"Population","2016","Dangans, Co.Laois, 08054","Age 75-79","Males","Number","5"
"Population","2016","Dangans, Co.Laois, 08054","Age 75-79","Females","Number","6"
"Population","2016","Dangans, Co.Laois, 08054","Age 75-79","Both Sexes","Number","11"
"Population","2016","Dangans, Co.Laois, 08054","Age 80-84","Males","Number","3"
"Population","2016","Dangans, Co.Laois, 08054","Age 80-84","Females","Number","8"
"Population","2016","Dangans, Co.Laois, 08054","Age 80-84","Both Sexes","Number","11"
"Population","2016","Dangans, Co.Laois, 08054","Age 85 and over","Males","Number","1"
"Population","2016","Dangans, Co.Laois, 08054","Age 85 and over","Females","Number","0"
"Population","2016","Dangans, Co.Laois, 08054","Age 85 and over","Both Sexes","Number","1"
"Population","2016","Dangans, Co.Laois, 08054","Total","Males","Number","819"
"Population","2016","Dangans, Co.Laois, 08054","Total","Females","Number","841"
"Population","2016","Dangans, Co.Laois, 08054","Total","Both Sexes","Number","1660"
