Macrotrends Data Download

Ireland Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,22.437
1951-12-31,22.247,-0.85
1952-12-31,22.056,-0.86
1953-12-31,21.865,-0.87
1954-12-31,21.674,-0.87
1955-12-31,21.483,-0.88
1956-12-31,21.293,-0.88
1957-12-31,21.102,-0.9
1958-12-31,20.911,-0.91
1959-12-31,21.068,0.75
1960-12-31,21.225,0.75
1961-12-31,21.381,0.73
1962-12-31,21.538,0.73
1963-12-31,21.695,0.73
1964-12-31,21.64,-0.25
1965-12-31,21.585,-0.25
1966-12-31,21.53,-0.25
1967-12-31,21.475,-0.26
1968-12-31,21.42,-0.26
1969-12-31,21.776,1.66
1970-12-31,22.131,1.63
1971-12-31,22.487,1.61
1972-12-31,22.842,1.58
1973-12-31,23.198,1.56
1974-12-31,22.994,-0.88
1975-12-31,22.789,-0.89
1976-12-31,22.585,-0.9
1977-12-31,22.38,-0.91
1978-12-31,22.176,-0.91
1979-12-31,21.771,-1.83
1980-12-31,21.366,-1.86
1981-12-31,20.96,-1.9
1982-12-31,20.555,-1.93
1983-12-31,20.15,-1.97
1984-12-31,19.346,-3.99
1985-12-31,18.541,-4.16
1986-12-31,17.737,-4.34
1987-12-31,16.932,-4.54
1988-12-31,16.128,-4.75
1989-12-31,15.71,-2.59
1990-12-31,15.293,-2.65
1991-12-31,14.875,-2.73
1992-12-31,14.458,-2.8
1993-12-31,14.04,-2.89
1994-12-31,14.059,0.14
1995-12-31,14.077,0.13
1996-12-31,14.096,0.13
1997-12-31,14.114,0.13
1998-12-31,14.133,0.13
1999-12-31,14.339,1.46
2000-12-31,14.545,1.44
2001-12-31,14.751,1.42
2002-12-31,14.957,1.4
2003-12-31,15.163,1.38
2004-12-31,15.38,1.43
2005-12-31,15.598,1.42
2006-12-31,15.815,1.39
2007-12-31,16.033,1.38
2008-12-31,16.25,1.35
2009-12-31,16.072,-1.1
2010-12-31,15.895,-1.1
2011-12-31,15.717,-1.12
2012-12-31,15.54,-1.13
2013-12-31,15.362,-1.15
2014-12-31,14.895,-3.04
2015-12-31,14.428,-3.14
2016-12-31,13.962,-3.23
2017-12-31,13.495,-3.34
2018-12-31,13.028,-3.46
2019-12-31,12.69,-2.59
2020-12-31,12.352,-2.66
2021-12-31,12.013,-2.74
2022-12-31,11.675,-2.81
2023-12-31,11.337,-2.9
2024-12-31,11.153,-1.62
2025-12-31,10.969,-1.65
2026-12-31,10.785,-1.68
2027-12-31,10.601,-1.71
2028-12-31,10.417,-1.74
2029-12-31,10.412,-0.05
2030-12-31,10.406,-0.06
2031-12-31,10.401,-0.05
2032-12-31,10.395,-0.06
2033-12-31,10.39,-0.05
2034-12-31,10.454,0.62
2035-12-31,10.518,0.61
2036-12-31,10.583,0.62
2037-12-31,10.647,0.6
2038-12-31,10.711,0.6
2039-12-31,10.738,0.25
2040-12-31,10.766,0.26
2041-12-31,10.793,0.25
2042-12-31,10.821,0.26
2043-12-31,10.848,0.25
2044-12-31,10.776,-0.66
2045-12-31,10.704,-0.67
2046-12-31,10.632,-0.67
2047-12-31,10.56,-0.68
2048-12-31,10.488,-0.68
2049-12-31,10.349,-1.33
2050-12-31,10.21,-1.34
2051-12-31,10.07,-1.37
2052-12-31,9.931,-1.38
2053-12-31,9.792,-1.4
2054-12-31,9.678,-1.16
2055-12-31,9.564,-1.18
2056-12-31,9.451,-1.18
2057-12-31,9.337,-1.21
2058-12-31,9.223,-1.22
2059-12-31,9.182,-0.44
2060-12-31,9.141,-0.45
2061-12-31,9.099,-0.46
2062-12-31,9.058,-0.45
2063-12-31,9.017,-0.45
2064-12-31,9.045,0.31
2065-12-31,9.072,0.3
2066-12-31,9.1,0.31
2067-12-31,9.127,0.3
2068-12-31,9.155,0.31
2069-12-31,9.201,0.5
2070-12-31,9.247,0.5
2071-12-31,9.292,0.49
2072-12-31,9.338,0.5
2073-12-31,9.384,0.49
2074-12-31,9.398,0.15
2075-12-31,9.411,0.14
2076-12-31,9.425,0.15
2077-12-31,9.438,0.14
2078-12-31,9.452,0.15
2079-12-31,9.421,-0.33
2080-12-31,9.39,-0.33
2081-12-31,9.36,-0.32
2082-12-31,9.329,-0.33
2083-12-31,9.298,-0.33
2084-12-31,9.244,-0.58
2085-12-31,9.19,-0.58
2086-12-31,9.136,-0.59
2087-12-31,9.082,-0.59
2088-12-31,9.028,-0.59
2089-12-31,8.982,-0.51
2090-12-31,8.936,-0.51
2091-12-31,8.889,-0.53
2092-12-31,8.843,-0.52
2093-12-31,8.797,-0.52
2094-12-31,8.787,-0.11
2095-12-31,8.778,-0.1
2096-12-31,8.768,-0.11
2097-12-31,8.759,-0.1
2098-12-31,8.749,-0.11
2099-12-31,8.739,-0.11
2100-12-31,8.73,-0.1
