date       ,Population ,Annual Growth Rate
1950-12-31 ,   2906599
1951-12-31 ,   2924705 ,0.62
1952-12-31 ,   2929379 ,0.16
1953-12-31 ,   2917037 ,-0.42
1954-12-31 ,   2902780 ,-0.49
1955-12-31 ,   2886368 ,-0.57
1956-12-31 ,   2869649 ,-0.58
1957-12-31 ,   2854323 ,-0.53
1958-12-31 ,   2838758 ,-0.55
1959-12-31 ,   2823465 ,-0.54
1960-12-31 ,   2811067 ,-0.44
1961-12-31 ,   2807005 ,-0.14
1962-12-31 ,   2813067 ,0.22
1963-12-31 ,   2824089 ,0.39
1964-12-31 ,   2837436 ,0.47
1965-12-31 ,   2852401 ,0.53
1966-12-31 ,   2867003 ,0.51
1967-12-31 ,   2882745 ,0.55
1968-12-31 ,   2899643 ,0.59
1969-12-31 ,   2917184 ,0.6
1970-12-31 ,   2937637 ,0.7
1971-12-31 ,   2969397 ,1.08
1972-12-31 ,   3013998 ,1.5
1973-12-31 ,   3062023 ,1.59
1974-12-31 ,   3110099 ,1.57
1975-12-31 ,   3157919 ,1.54
1976-12-31 ,   3205753 ,1.51
1977-12-31 ,   3254662 ,1.53
1978-12-31 ,   3305571 ,1.56
1979-12-31 ,   3351898 ,1.4
1980-12-31 ,   3391387 ,1.18
1981-12-31 ,   3424827 ,0.99
1982-12-31 ,   3451212 ,0.77
1983-12-31 ,   3472903 ,0.63
1984-12-31 ,   3490931 ,0.52
1985-12-31 ,   3505769 ,0.43
1986-12-31 ,   3515669 ,0.28
1987-12-31 ,   3513700 ,-0.06
1988-12-31 ,   3498030 ,-0.45
1989-12-31 ,   3483314 ,-0.42
1990-12-31 ,   3485374 ,0.06
1991-12-31 ,   3504805 ,0.56
1992-12-31 ,   3528367 ,0.67
1993-12-31 ,   3545700 ,0.49
1994-12-31 ,   3559398 ,0.39
1995-12-31 ,   3579482 ,0.56
1996-12-31 ,   3606728 ,0.76
1997-12-31 ,   3640150 ,0.93
1998-12-31 ,   3678667 ,1.06
1999-12-31 ,   3719912 ,1.12
2000-12-31 ,   3768950 ,1.32
2001-12-31 ,   3829018 ,1.59
2002-12-31 ,   3894258 ,1.7
2003-12-31 ,   3958705 ,1.65
2004-12-31 ,   4031954 ,1.85
2005-12-31 ,   4121216 ,2.21
2006-12-31 ,   4234806 ,2.76
2007-12-31 ,   4359834 ,2.95
2008-12-31 ,   4452392 ,2.12
2009-12-31 ,   4499792 ,1.06
2010-12-31 ,   4524585 ,0.55
2011-12-31 ,   4544501 ,0.44
2012-12-31 ,   4564550 ,0.44
2013-12-31 ,   4588832 ,0.53
2014-12-31 ,   4622167 ,0.73
2015-12-31 ,   4665760 ,0.94
2016-12-31 ,   4715788 ,1.07
2017-12-31 ,   4771854 ,1.19
2018-12-31 ,   4834507 ,1.31
2019-12-31 ,   4896019 ,1.27
2020-12-31 ,   4946119 ,1.02
2021-12-31 ,   4986526 ,0.82
2022-12-31 ,   5023109 ,0.73
2023-12-31 ,   5056935 ,0.67
2024-12-31 ,   5089478 ,0.64
2025-12-31 ,   5120867 ,0.62
2026-12-31 ,   5151399 ,0.6
2027-12-31 ,   5181143 ,0.58
2028-12-31 ,   5210188 ,0.56
2029-12-31 ,   5238739 ,0.55
2030-12-31 ,   5266881 ,0.54
2031-12-31 ,   5294736 ,0.53
2032-12-31 ,   5322355 ,0.52
2033-12-31 ,   5349663 ,0.51
2034-12-31 ,   5376684 ,0.51
2035-12-31 ,   5403354 ,0.5
2036-12-31 ,   5429691 ,0.49
2037-12-31 ,   5455791 ,0.48
2038-12-31 ,   5481441 ,0.47
2039-12-31 ,   5506567 ,0.46
2040-12-31 ,   5531181 ,0.45
2041-12-31 ,   5555162 ,0.43
2042-12-31 ,   5578394 ,0.42
2043-12-31 ,   5600737 ,0.4
2044-12-31 ,   5622145 ,0.38
2045-12-31 ,   5642439 ,0.36
2046-12-31 ,   5661520 ,0.34
2047-12-31 ,   5679407 ,0.32
2048-12-31 ,   5695971 ,0.29
2049-12-31 ,   5711065 ,0.26
2050-12-31 ,   5724686 ,0.24
2051-12-31 ,   5736958 ,0.21
2052-12-31 ,   5747775 ,0.19
2053-12-31 ,   5757130 ,0.16
2054-12-31 ,   5765164 ,0.14
2055-12-31 ,   5771955 ,0.12
2056-12-31 ,   5777630 ,0.1
2057-12-31 ,   5782303 ,0.08
2058-12-31 ,   5785861 ,0.06
2059-12-31 ,   5788371 ,0.04
2060-12-31 ,   5789972 ,0.03
2061-12-31 ,   5790721 ,0.01
2062-12-31 ,   5790807 ,0
2063-12-31 ,   5790212 ,-0.01
2064-12-31 ,   5789038 ,-0.02
2065-12-31 ,   5787445 ,-0.03
2066-12-31 ,   5785419 ,-0.04
2067-12-31 ,   5782984 ,-0.04
2068-12-31 ,   5780333 ,-0.05
2069-12-31 ,   5777597 ,-0.05
2070-12-31 ,   5774754 ,-0.05
2071-12-31 ,   5772056 ,-0.05
2072-12-31 ,   5769649 ,-0.04
2073-12-31 ,   5767581 ,-0.04
2074-12-31 ,   5765837 ,-0.03
