"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Ireland"                               ,"Number" ,"5084879"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Carlow County Council"                 ,"Number" ,"61423"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Dublin City Council"                   ,"Number" ,"580237"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"229827"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Fingal County Council"                 ,"Number" ,"327281"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"South Dublin County Council"           ,"Number" ,"298104"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Kildare County Council"                ,"Number" ,"245862"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Kilkenny County Council"               ,"Number" ,"103036"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Laois County Council"                  ,"Number" ,"91284"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Longford County Council"               ,"Number" ,"46373"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Louth County Council"                  ,"Number" ,"138707"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Meath County Council"                  ,"Number" ,"219304"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Offaly County Council"                 ,"Number" ,"82567"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Westmeath County Council"              ,"Number" ,"95471"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Wexford County Council"                ,"Number" ,"162516"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Wicklow County Council"                ,"Number" ,"153988"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Clare County Council"                  ,"Number" ,"125982"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Cork City Council"                     ,"Number" ,"220938"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Cork County Council"                   ,"Number" ,"356309"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Kerry County Council"                  ,"Number" ,"152662"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Limerick City & County Council"        ,"Number" ,"207245"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Tipperary County Council"              ,"Number" ,"166638"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Waterford City & County Council"       ,"Number" ,"126074"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Galway City Council"                   ,"Number" ,"82179"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Galway County Council"                 ,"Number" ,"191348"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Leitrim County Council"                ,"Number" ,"34719"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Mayo  County Council"                  ,"Number" ,"135873"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Roscommon County Council"              ,"Number" ,"69547"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Sligo County Council"                  ,"Number" ,"69225"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Cavan County Council"                  ,"Number" ,"80971"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Donegal County Council"                ,"Number" ,"164573"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"All citizenships"                                                     ,"Monaghan County Council"               ,"Number" ,"64616"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Ireland"                               ,"Number" ,"4112893"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Carlow County Council"                 ,"Number" ,"50985"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Dublin City Council"                   ,"Number" ,"402832"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"180185"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Fingal County Council"                 ,"Number" ,"243964"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"South Dublin County Council"           ,"Number" ,"239850"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Kildare County Council"                ,"Number" ,"203156"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Kilkenny County Council"               ,"Number" ,"89628"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Laois County Council"                  ,"Number" ,"76655"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Longford County Council"               ,"Number" ,"35140"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Louth County Council"                  ,"Number" ,"114269"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Meath County Council"                  ,"Number" ,"181676"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Offaly County Council"                 ,"Number" ,"71105"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Westmeath County Council"              ,"Number" ,"78347"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Wexford County Council"                ,"Number" ,"139107"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Wicklow County Council"                ,"Number" ,"130052"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Clare County Council"                  ,"Number" ,"105069"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Cork City Council"                     ,"Number" ,"175137"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Cork County Council"                   ,"Number" ,"300862"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Kerry County Council"                  ,"Number" ,"126909"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Limerick City & County Council"        ,"Number" ,"170575"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Tipperary County Council"              ,"Number" ,"143748"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Waterford City & County Council"       ,"Number" ,"104586"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Galway City Council"                   ,"Number" ,"58437"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Galway County Council"                 ,"Number" ,"163782"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Leitrim County Council"                ,"Number" ,"29040"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Mayo  County Council"                  ,"Number" ,"114870"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Roscommon County Council"              ,"Number" ,"57972"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Sligo County Council"                  ,"Number" ,"58957"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Cavan County Council"                  ,"Number" ,"66652"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Donegal County Council"                ,"Number" ,"144416"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland"                                                              ,"Monaghan County Council"               ,"Number" ,"54930"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Ireland"                               ,"Number" ,"31907"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Carlow County Council"                 ,"Number" ,"282"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Dublin City Council"                   ,"Number" ,"2986"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"2082"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Fingal County Council"                 ,"Number" ,"1585"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"South Dublin County Council"           ,"Number" ,"974"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Kildare County Council"                ,"Number" ,"1230"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Kilkenny County Council"               ,"Number" ,"565"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Laois County Council"                  ,"Number" ,"408"
