date       ,Deaths per 1000 People ,Annual % Change
1950-12-31 ,                13.242
1951-12-31 ,                13.095 ,-1.11
1952-12-31 ,                12.949 ,-1.11
1953-12-31 ,                12.802 ,-1.14
1954-12-31 ,                12.655 ,-1.15
1955-12-31 ,                12.509 ,-1.15
1956-12-31 ,                12.362 ,-1.18
1957-12-31 ,                12.216 ,-1.18
1958-12-31 ,                12.069 ,-1.2
1959-12-31 ,                12.027 ,-0.35
1960-12-31 ,                11.985 ,-0.35
1961-12-31 ,                11.942 ,-0.36
1962-12-31 ,                11.9   ,-0.35
1963-12-31 ,                11.858 ,-0.35
1964-12-31 ,                11.788 ,-0.59
1965-12-31 ,                11.718 ,-0.59
1966-12-31 ,                11.647 ,-0.61
1967-12-31 ,                11.577 ,-0.6
1968-12-31 ,                11.507 ,-0.6
1969-12-31 ,                11.405 ,-0.89
1970-12-31 ,                11.303 ,-0.89
1971-12-31 ,                11.201 ,-0.9
1972-12-31 ,                11.099 ,-0.91
1973-12-31 ,                10.997 ,-0.92
1974-12-31 ,                10.831 ,-1.51
1975-12-31 ,                10.665 ,-1.53
1976-12-31 ,                10.499 ,-1.56
1977-12-31 ,                10.333 ,-1.58
1978-12-31 ,                10.167 ,-1.61
1979-12-31 ,                 9.992 ,-1.72
1980-12-31 ,                 9.817 ,-1.75
1981-12-31 ,                 9.643 ,-1.77
1982-12-31 ,                 9.468 ,-1.81
1983-12-31 ,                 9.293 ,-1.85
1984-12-31 ,                 9.226 ,-0.72
1985-12-31 ,                 9.159 ,-0.73
1986-12-31 ,                 9.093 ,-0.72
1987-12-31 ,                 9.026 ,-0.74
1988-12-31 ,                 8.959 ,-0.74
1989-12-31 ,                 8.886 ,-0.81
1990-12-31 ,                 8.814 ,-0.81
1991-12-31 ,                 8.741 ,-0.83
1992-12-31 ,                 8.669 ,-0.82
1993-12-31 ,                 8.596 ,-0.84
1994-12-31 ,                 8.553 ,-0.5
1995-12-31 ,                 8.51  ,-0.5
1996-12-31 ,                 8.468 ,-0.49
1997-12-31 ,                 8.425 ,-0.51
1998-12-31 ,                 8.382 ,-0.51
1999-12-31 ,                 8.157 ,-2.68
2000-12-31 ,                 7.932 ,-2.76
2001-12-31 ,                 7.706 ,-2.85
2002-12-31 ,                 7.481 ,-2.92
2003-12-31 ,                 7.256 ,-3.01
2004-12-31 ,                 7.069 ,-2.58
2005-12-31 ,                 6.883 ,-2.63
2006-12-31 ,                 6.696 ,-2.72
2007-12-31 ,                 6.51  ,-2.78
2008-12-31 ,                 6.323 ,-2.87
2009-12-31 ,                 6.307 ,-0.25
2010-12-31 ,                 6.291 ,-0.25
2011-12-31 ,                 6.274 ,-0.27
2012-12-31 ,                 6.258 ,-0.26
2013-12-31 ,                 6.242 ,-0.26
2014-12-31 ,                 6.203 ,-0.62
2015-12-31 ,                 6.165 ,-0.61
2016-12-31 ,                 6.126 ,-0.63
2017-12-31 ,                 6.088 ,-0.62
2018-12-31 ,                 6.049 ,-0.64
2019-12-31 ,                 6.139 ,1.49
2020-12-31 ,                 6.229 ,1.47
2021-12-31 ,                 6.32  ,1.46
2022-12-31 ,                 6.41  ,1.42
2023-12-31 ,                 6.5   ,1.4
2024-12-31 ,                 6.598 ,1.51
2025-12-31 ,                 6.696 ,1.49
2026-12-31 ,                 6.793 ,1.45
2027-12-31 ,                 6.891 ,1.44
2028-12-31 ,                 6.989 ,1.42
2029-12-31 ,                 7.111 ,1.75
2030-12-31 ,                 7.233 ,1.72
2031-12-31 ,                 7.355 ,1.69
