"Statistic Label","Year","Ireland","UNIT","VALUE"
"Marriages","1923","Ireland","Number","15632"
"Marriages","1924","Ireland","Number","14822"
"Marriages","1925","Ireland","Number","13820"
"Marriages","1926","Ireland","Number","13570"
"Marriages","1927","Ireland","Number","13418"
"Marriages","1928","Ireland","Number","13716"
"Marriages","1929","Ireland","Number","13593"
"Marriages","1930","Ireland","Number","13631"
"Marriages","1931","Ireland","Number","13133"
"Marriages","1932","Ireland","Number","13029"
"Marriages","1933","Ireland","Number","13992"
"Marriages","1934","Ireland","Number","14251"
"Marriages","1935","Ireland","Number","14336"
"Marriages","1936","Ireland","Number","14763"
"Marriages","1937","Ireland","Number","14780"
"Marriages","1938","Ireland","Number","14893"
"Marriages","1939","Ireland","Number","15204"
"Marriages","1940","Ireland","Number","15212"
"Marriages","1941","Ireland","Number","15021"
"Marriages","1942","Ireland","Number","17470"
"Marriages","1943","Ireland","Number","17328"
"Marriages","1944","Ireland","Number","16772"
"Marriages","1945","Ireland","Number","17301"
"Marriages","1946","Ireland","Number","17525"
"Marriages","1947","Ireland","Number","16290"
"Marriages","1948","Ireland","Number","16115"
"Marriages","1949","Ireland","Number","16009"
"Marriages","1950","Ireland","Number","16018"
"Marriages","1951","Ireland","Number","16017"
"Marriages","1952","Ireland","Number","15876"
"Marriages","1953","Ireland","Number","15888"
"Marriages","1954","Ireland","Number","15831"
"Marriages","1955","Ireland","Number","16443"
"Marriages","1956","Ireland","Number","16761"
"Marriages","1957","Ireland","Number","14657"
"Marriages","1958","Ireland","Number","15061"
"Marriages","1959","Ireland","Number","15420"
"Marriages","1960","Ireland","Number","15465"
"Marriages","1961","Ireland","Number","15329"
"Marriages","1962","Ireland","Number","15627"
"Marriages","1963","Ireland","Number","15556"
"Marriages","1964","Ireland","Number","16128"
"Marriages","1965","Ireland","Number","16946"
"Marriages","1966","Ireland","Number","16849"
"Marriages","1967","Ireland","Number","17788"
"Marriages","1968","Ireland","Number","18993"
"Marriages","1969","Ireland","Number","20304"
"Marriages","1970","Ireland","Number","20778"
"Marriages","1971","Ireland","Number","22014"
"Marriages","1972","Ireland","Number","22302"
"Marriages","1973","Ireland","Number","22816"
"Marriages","1974","Ireland","Number","22833"
"Marriages","1975","Ireland","Number","21280"
"Marriages","1976","Ireland","Number","20580"
"Marriages","1977","Ireland","Number","20016"
"Marriages","1978","Ireland","Number","21184"
"Marriages","1979","Ireland","Number","20806"
"Marriages","1980","Ireland","Number","21792"
"Marriages","1981","Ireland","Number","20612"
"Marriages","1982","Ireland","Number","20224"
"Marriages","1983","Ireland","Number","19467"
"Marriages","1984","Ireland","Number","18513"
"Marriages","1985","Ireland","Number","18791"
"Marriages","1986","Ireland","Number","18573"
"Marriages","1987","Ireland","Number","18309"
"Marriages","1988","Ireland","Number","18382"
"Marriages","1989","Ireland","Number","18174"
"Marriages","1990","Ireland","Number","17490"
"Marriages","1991","Ireland","Number","17441"
"Marriages","1992","Ireland","Number","16636"
"Marriages","1993","Ireland","Number","16824"
"Marriages","1994","Ireland","Number","16621"
"Marriages","1995","Ireland","Number","15604"
"Marriages","1996","Ireland","Number","16255"
"Marriages","1997","Ireland","Number","15631"
"Births, Male","1923","Ireland","Number","31808"
"Births, Male","1924","Ireland","Number","32713"
"Births, Male","1925","Ireland","Number","31818"
"Births, Male","1926","Ireland","Number","31382"
"Births, Male","1927","Ireland","Number","30606"
"Births, Male","1928","Ireland","Number","30327"
"Births, Male","1929","Ireland","Number","29583"
