GUID_,year,Population
2AE196291F5013A3E055000000000001,2022_Population,4666.0
2AE19629240313A3E055000000000001,2022_Population,214.0
2AE1962917E613A3E055000000000001,2022_Population,2915.0
2AE1962921D313A3E055000000000001,2022_Population,202.0
2AE196291C1F13A3E055000000000001,2022_Population,433.0
2AE196291C7613A3E055000000000001,2022_Population,506.0
2AE196291F5A13A3E055000000000001,2022_Population,1313.0
2AE1962917CB13A3E055000000000001,2022_Population,649.0
2AE196291BDD13A3E055000000000001,2022_Population,568.0
2AE196291F3E13A3E055000000000001,2022_Population,4711.0
2AE19629170613A3E055000000000001,2022_Population,399.0
2AE19629210013A3E055000000000001,2022_Population,874.0
2AE19629219D13A3E055000000000001,2022_Population,414.0
2AE196291C4713A3E055000000000001,2022_Population,187.0
2AE196291D3D13A3E055000000000001,2022_Population,2322.0
2AE196291F9513A3E055000000000001,2022_Population,211.0
2AE196291AD713A3E055000000000001,2022_Population,152.0
2AE19629203C13A3E055000000000001,2022_Population,166.0
2AE196291F9D13A3E055000000000001,2022_Population,240.0
2AE19629216713A3E055000000000001,2022_Population,708.0
2AE1962922FF13A3E055000000000001,2022_Population,198.0
2AE19629204913A3E055000000000001,2022_Population,1266.0
2AE19629172B13A3E055000000000001,2022_Population,1606.0
2AE196291F7613A3E055000000000001,2022_Population,470.0
2AE19629236713A3E055000000000001,2022_Population,105.0
2AE1962916FD13A3E055000000000001,2022_Population,150.0
2AE196291BA113A3E055000000000001,2022_Population,1427.0
2AE19629210613A3E055000000000001,2022_Population,1176.0
2AE19629219F13A3E055000000000001,2022_Population,585.0
2AE19629205C13A3E055000000000001,2022_Population,568.0
2AE1962919FE13A3E055000000000001,2022_Population,339.0
2AE196291F5413A3E055000000000001,2022_Population,460.0
2AE1962919BD13A3E055000000000001,2022_Population,1001.0
2AE19629232A13A3E055000000000001,2022_Population,504.0
2AE196291AA513A3E055000000000001,2022_Population,1658.0
2AE196291D7C13A3E055000000000001,2022_Population,1557.0
2AE19629176C13A3E055000000000001,2022_Population,338.0
2AE1962917F813A3E055000000000001,2022_Population,529.0
2AE19629187213A3E055000000000001,2022_Population,1201.0
2AE19629201113A3E055000000000001,2022_Population,288.0
2AE196291E8013A3E055000000000001,2022_Population,430.0
2AE19629213F13A3E055000000000001,2022_Population,441.0
2AE1962916DF13A3E055000000000001,2022_Population,291.0
2AE19629181413A3E055000000000001,2022_Population,11843.0
2AE196291D2313A3E055000000000001,2022_Population,1944.0
2AE19629177613A3E055000000000001,2022_Population,460.0
2AE196291F0213A3E055000000000001,2022_Population,3038.0
2AE19629188F13A3E055000000000001,2022_Population,8542.0
2AE196291C3A13A3E055000000000001,2022_Population,826.0
2AE196291E9313A3E055000000000001,2022_Population,1306.0
2AE196291CE813A3E055000000000001,2022_Population,13242.0
2AE196291B7013A3E055000000000001,2022_Population,224.0
2AE19629180113A3E055000000000001,2022_Population,1644.0
2AE19629192513A3E055000000000001,2022_Population,4038.0
2AE196291AA113A3E055000000000001,2022_Population,6371.0
2AE196291FB913A3E055000000000001,2022_Population,75.0
2AE196291E1013A3E055000000000001,2022_Population,475.0
2AE19629198413A3E055000000000001,2022_Population,802.0
2AE19629230B13A3E055000000000001,2022_Population,462.0
2AE19629205A13A3E055000000000001,2022_Population,719.0
2AE19629190213A3E055000000000001,2022_Population,367.0
2AE19629179613A3E055000000000001,2022_Population,523.0
2AE196291A9D13A3E055000000000001,2022_Population,517.0
2AE196291E4013A3E055000000000001,2022_Population,914.0
2AE1962920E913A3E055000000000001,2022_Population,550.0
2AE1962916D813A3E055000000000001,2022_Population,262.0
2AE196291CC113A3E055000000000001,2022_Population,2267.0
2AE196291C1A13A3E055000000000001,2022_Population,138.0
2AE1962918EA13A3E055000000000001,2022_Population,181.0
2AE19629193E13A3E055000000000001,2022_Population,967.0
2AE19629185213A3E055000000000001,2022_Population,482.0
2AE19629191E13A3E055000000000001,2022_Population,6487.0
2AE1962922CC13A3E055000000000001,2022_Population,369.0
2AE1962922E813A3E055000000000001,2022_Population,1301.0
2AE1962921ED13A3E055000000000001,2022_Population,824.0
2AE1962916E013A3E055000000000001,2022_Population,292.0
2AE1962917BF13A3E055000000000001,2022_Population,242.0
2AE1962918DF13A3E055000000000001,2022_Population,263.0
2AE196291F0013A3E055000000000001,2022_Population,287.0
2AE196291FAE13A3E055000000000001,2022_Population,92.0
2AE196291A5213A3E055000000000001,2022_Population,466.0
2AE196291C1B13A3E055000000000001,2022_Population,1454.0
2AE1962916ED13A3E055000000000001,2022_Population,958.0
2AE196291C5413A3E055000000000001,2022_Population,2523.0
2AE196291F1913A3E055000000000001,2022_Population,722.0
2AE1962916E313A3E055000000000001,2022_Population,616.0
2AE196291B3B13A3E055000000000001,2022_Population,2096.0
2AE196291A7C13A3E055000000000001,2022_Population,1554.0
2AE1962918D513A3E055000000000001,2022_Population,319.0
2AE1962918D813A3E055000000000001,2022_Population,3495.0
2AE19629205513A3E055000000000001,2022_Population,133.0
2AE1962922D513A3E055000000000001,2022_Population,125.0
2AE196291C4E13A3E055000000000001,2022_Population,982.0
2AE196291D4513A3E055000000000001,2022_Population,3190.0
2AE196291BEE13A3E055000000000001,2022_Population,413.0
2AE19629170813A3E055000000000001,2022_Population,83.0
2AE1962916AC13A3E055000000000001,2022_Population,404.0
2AE196291D3F13A3E055000000000001,2022_Population,2921.0
2AE19629171713A3E055000000000001,2022_Population,152.0
2AE1962923B013A3E055000000000001,2022_Population,286.0
2AE19629172C13A3E055000000000001,2022_Population,740.0
2AE1962921C913A3E055000000000001,2022_Population,975.0
2AE1962921D613A3E055000000000001,2022_Population,691.0
2AE19629200313A3E055000000000001,2022_Population,169.0
2AE196291AAC13A3E055000000000001,2022_Population,908.0
3576C5999AEA4152E0530100007F0280,2022_Population,235.0
2AE196291B4A13A3E055000000000001,2022_Population,467.0
2AE196291ABE13A3E055000000000001,2022_Population,1110.0
2AE196291D3C13A3E055000000000001,2022_Population,4505.0
2AE196291D0D13A3E055000000000001,2022_Population,5690.0
2AE1962921CC13A3E055000000000001,2022_Population,1254.0
2AE19629174813A3E055000000000001,2022_Population,2055.0
2AE19629199113A3E055000000000001,2022_Population,183.0
2AE196291F8413A3E055000000000001,2022_Population,910.0
2AE19629209113A3E055000000000001,2022_Population,621.0
2AE196291F4013A3E055000000000001,2022_Population,6920.0
2AE1962917C013A3E055000000000001,2022_Population,7351.0
2AE1962917EA13A3E055000000000001,2022_Population,1026.0
2AE196291A3413A3E055000000000001,2022_Population,363.0
2AE196291A8F13A3E055000000000001,2022_Population,817.0
2AE19629200413A3E055000000000001,2022_Population,484.0
2AE19629233F13A3E055000000000001,2022_Population,3858.0
2AE196291C0F13A3E055000000000001,2022_Population,865.0
2AE196291C4813A3E055000000000001,2022_Population,743.0
2AE1962921FB13A3E055000000000001,2022_Population,421.0
2AE19629232313A3E055000000000001,2022_Population,670.0
2AE19629173813A3E055000000000001,2022_Population,65.0
2AE196291C5013A3E055000000000001,2022_Population,4225.0
2AE196291D5F13A3E055000000000001,2022_Population,5700.0
3576C5999CF04152E0530100007F0280,2022_Population,134.0
2AE1962916AA13A3E055000000000001,2022_Population,288.0
2AE19629190013A3E055000000000001,2022_Population,3136.0
2AE19629191713A3E055000000000001,2022_Population,1068.0
2AE196291B0B13A3E055000000000001,2022_Population,398.0
2AE196291FFB13A3E055000000000001,2022_Population,2131.0
2AE1962923E713A3E055000000000001,2022_Population,1071.0
2AE196291CF513A3E055000000000001,2022_Population,504.0
2AE196291DDB13A3E055000000000001,2022_Population,452.0
2AE19629186113A3E055000000000001,2022_Population,582.0
2AE1962922C713A3E055000000000001,2022_Population,207.0
2AE1962923F613A3E055000000000001,2022_Population,1831.0
2AE196291FC213A3E055000000000001,2022_Population,248.0
2AE19629174113A3E055000000000001,2022_Population,128.0
2AE196291DD213A3E055000000000001,2022_Population,5671.0
2AE19629192813A3E055000000000001,2022_Population,362.0
2AE196291A4813A3E055000000000001,2022_Population,321.0
2AE196291E4913A3E055000000000001,2022_Population,827.0
2AE19629213813A3E055000000000001,2022_Population,2645.0
2AE1962921CB13A3E055000000000001,2022_Population,6243.0
2AE196291F8813A3E055000000000001,2022_Population,1441.0
2AE1962920EF13A3E055000000000001,2022_Population,316.0
2AE196291C9013A3E055000000000001,2022_Population,672.0
2AE19629198E13A3E055000000000001,2022_Population,274.0
2AE19629199213A3E055000000000001,2022_Population,549.0
2AE1962923A413A3E055000000000001,2022_Population,171.0
2AE196291EF013A3E055000000000001,2022_Population,19167.0
2AE196291CEC13A3E055000000000001,2022_Population,5230.0
2AE1962923EA13A3E055000000000001,2022_Population,797.0
2AE19629207213A3E055000000000001,2022_Population,1628.0
2AE19629172113A3E055000000000001,2022_Population,325.0
2AE19629184313A3E055000000000001,2022_Population,349.0
2AE19629208813A3E055000000000001,2022_Population,1141.0
2AE1962922C013A3E055000000000001,2022_Population,805.0
2AE19629179F13A3E055000000000001,2022_Population,1130.0
2AE196291B1B13A3E055000000000001,2022_Population,619.0
2AE1962923B613A3E055000000000001,2022_Population,234.0
2AE19629179813A3E055000000000001,2022_Population,710.0
2AE1962923D013A3E055000000000001,2022_Population,485.0
2AE19629200F13A3E055000000000001,2022_Population,190.0
2AE196291C4F13A3E055000000000001,2022_Population,1002.0
2AE196291EAD13A3E055000000000001,2022_Population,563.0
2AE19629175D13A3E055000000000001,2022_Population,1036.0
2AE1962918ED13A3E055000000000001,2022_Population,1047.0
2AE19629171E13A3E055000000000001,2022_Population,153.0
2AE196291AF613A3E055000000000001,2022_Population,182.0
2AE19629225613A3E055000000000001,2022_Population,252.0
2AE19629170313A3E055000000000001,2022_Population,383.0
2AE196291A5113A3E055000000000001,2022_Population,1044.0
2AE196291FB013A3E055000000000001,2022_Population,783.0
3576C5999C054152E0530100007F0280,2022_Population,264.0
2AE196291C7B13A3E055000000000001,2022_Population,576.0
2AE1962919DF13A3E055000000000001,2022_Population,358.0
2AE1962916F513A3E055000000000001,2022_Population,17305.0
2AE196291A2913A3E055000000000001,2022_Population,1763.0
2AE1962916B213A3E055000000000001,2022_Population,1807.0
2AE196291BEA13A3E055000000000001,2022_Population,700.0
2AE1962923F213A3E055000000000001,2022_Population,1563.0
2AE19629187713A3E055000000000001,2022_Population,501.0
2AE196291E8C13A3E055000000000001,2022_Population,624.0
2AE196291A0E13A3E055000000000001,2022_Population,410.0
2AE196291D6913A3E055000000000001,2022_Population,2832.0
2AE19629171013A3E055000000000001,2022_Population,219.0
2AE196291EDA13A3E055000000000001,2022_Population,1182.0
2AE19629194C13A3E055000000000001,2022_Population,681.0
2AE196291FC613A3E055000000000001,2022_Population,245.0
2AE19629206D13A3E055000000000001,2022_Population,858.0
2AE196291D5413A3E055000000000001,2022_Population,540.0
2AE196291B6E13A3E055000000000001,2022_Population,381.0
2AE196291DED13A3E055000000000001,2022_Population,2150.0
2AE19629177F13A3E055000000000001,2022_Population,664.0
2AE196291A6A13A3E055000000000001,2022_Population,1586.0
2AE196291AAF13A3E055000000000001,2022_Population,582.0
2AE196291B3A13A3E055000000000001,2022_Population,3820.0
2AE196291F1213A3E055000000000001,2022_Population,4449.0
2AE19629232613A3E055000000000001,2022_Population,1198.0
2AE19629189313A3E055000000000001,2022_Population,3720.0
2AE19629188613A3E055000000000001,2022_Population,423.0
2AE196291BF313A3E055000000000001,2022_Population,570.0
2AE196291EF813A3E055000000000001,2022_Population,584.0
2AE19629213B13A3E055000000000001,2022_Population,393.0
2AE1962923F513A3E055000000000001,2022_Population,457.0
2AE196291E3B13A3E055000000000001,2022_Population,427.0
2AE1962921BF13A3E055000000000001,2022_Population,1107.0
2AE19629229613A3E055000000000001,2022_Population,522.0
2AE196291CD713A3E055000000000001,2022_Population,2211.0
2AE1962923B913A3E055000000000001,2022_Population,1926.0
2AE1962918E613A3E055000000000001,2022_Population,343.0
2AE19629237413A3E055000000000001,2022_Population,1732.0
2AE196291D6113A3E055000000000001,2022_Population,10463.0
2AE196291F4A13A3E055000000000001,2022_Population,220.0
2AE196291B0313A3E055000000000001,2022_Population,1933.0
2AE19629231713A3E055000000000001,2022_Population,230.0
2AE1962916B113A3E055000000000001,2022_Population,330.0
2AE196291C4013A3E055000000000001,2022_Population,148.0
2AE1962916F813A3E055000000000001,2022_Population,290.0
2AE196291D8113A3E055000000000001,2022_Population,3035.0
2AE19629209613A3E055000000000001,2022_Population,2474.0
2AE196291FE313A3E055000000000001,2022_Population,297.0
2AE1962923FA13A3E055000000000001,2022_Population,2335.0
2AE19629201B13A3E055000000000001,2022_Population,149.0
2AE19629194E13A3E055000000000001,2022_Population,2991.0
2AE19629189E13A3E055000000000001,2022_Population,1023.0
2AE19629199E13A3E055000000000001,2022_Population,510.0
2AE1962917D813A3E055000000000001,2022_Population,338.0
2AE196291D4313A3E055000000000001,2022_Population,3641.0
2AE196291D9613A3E055000000000001,2022_Population,2138.0
3576C5999AEB4152E0530100007F0280,2022_Population,235.0
2AE1962921A713A3E055000000000001,2022_Population,1357.0
2AE19629235613A3E055000000000001,2022_Population,678.0
2AE19629190313A3E055000000000001,2022_Population,317.0
2AE196291F1313A3E055000000000001,2022_Population,883.0
2AE196291A4213A3E055000000000001,2022_Population,126.0
2AE196291AAB13A3E055000000000001,2022_Population,1003.0
2AE1962923D613A3E055000000000001,2022_Population,1039.0
2AE1962919FC13A3E055000000000001,2022_Population,4705.0
2AE196291F9113A3E055000000000001,2022_Population,301.0
2AE196291DCA13A3E055000000000001,2022_Population,4784.0
2AE196291FA013A3E055000000000001,2022_Population,341.0
2AE196291E8713A3E055000000000001,2022_Population,971.0
2AE19629178F13A3E055000000000001,2022_Population,465.0
2AE19629187C13A3E055000000000001,2022_Population,793.0
2AE196291D0E13A3E055000000000001,2022_Population,2496.0
2AE196291D2E13A3E055000000000001,2022_Population,2795.0
2AE196291B3613A3E055000000000001,2022_Population,189.0
2AE196291E1713A3E055000000000001,2022_Population,5716.0
2AE196291BF913A3E055000000000001,2022_Population,744.0
2AE196291AF013A3E055000000000001,2022_Population,528.0
2AE196291B7113A3E055000000000001,2022_Population,268.0
2AE196291AA613A3E055000000000001,2022_Population,290.0
2AE1962916DD13A3E055000000000001,2022_Population,141.0
3576C5999C464152E0530100007F0280,2022_Population,154.0
2AE1962918D013A3E055000000000001,2022_Population,1158.0
2AE196291EE613A3E055000000000001,2022_Population,490.0
2AE196291BC413A3E055000000000001,2022_Population,283.0
2AE196291D5913A3E055000000000001,2022_Population,2764.0
2AE19629178013A3E055000000000001,2022_Population,3602.0
2AE196291DFE13A3E055000000000001,2022_Population,4751.0
2AE196291E0413A3E055000000000001,2022_Population,3129.0
2AE1962918CA13A3E055000000000001,2022_Population,922.0
2AE1962920C213A3E055000000000001,2022_Population,2053.0
2AE196291EA213A3E055000000000001,2022_Population,4178.0
2AE196291CCE13A3E055000000000001,2022_Population,4425.0
2AE19629201713A3E055000000000001,2022_Population,1283.0
2AE1962918BD13A3E055000000000001,2022_Population,11474.0
2AE19629189913A3E055000000000001,2022_Population,637.0
2AE19629219213A3E055000000000001,2022_Population,1730.0
2AE196291E6113A3E055000000000001,2022_Population,12083.0
2AE19629240B13A3E055000000000001,2022_Population,401.0
2AE1962918C313A3E055000000000001,2022_Population,1156.0
2AE196291AC413A3E055000000000001,2022_Population,390.0
2AE19629229813A3E055000000000001,2022_Population,567.0
2AE196291FAC13A3E055000000000001,2022_Population,281.0
2AE19629185A13A3E055000000000001,2022_Population,1099.0
2AE196291DCC13A3E055000000000001,2022_Population,1587.0
2AE1962916BE13A3E055000000000001,2022_Population,362.0
2AE1962923DB13A3E055000000000001,2022_Population,268.0
2AE19629208213A3E055000000000001,2022_Population,459.0
2AE1962918A313A3E055000000000001,2022_Population,371.0
2AE19629171413A3E055000000000001,2022_Population,178.0
2AE196291E8D13A3E055000000000001,2022_Population,214.0
2AE19629195013A3E055000000000001,2022_Population,2277.0
2AE19629187613A3E055000000000001,2022_Population,443.0
2AE19629219713A3E055000000000001,2022_Population,2078.0
2AE196291A1013A3E055000000000001,2022_Population,240.0
2AE19629175913A3E055000000000001,2022_Population,1358.0
2AE196291EF313A3E055000000000001,2022_Population,372.0
2AE19629231813A3E055000000000001,2022_Population,534.0
2AE196291A4E13A3E055000000000001,2022_Population,193.0
2AE19629212D13A3E055000000000001,2022_Population,939.0
2AE196291EB413A3E055000000000001,2022_Population,3177.0
2AE19629199313A3E055000000000001,2022_Population,300.0
2AE1962921AB13A3E055000000000001,2022_Population,2463.0
2AE1962923AF13A3E055000000000001,2022_Population,105.0
2AE19629189013A3E055000000000001,2022_Population,1054.0
2AE1962920BE13A3E055000000000001,2022_Population,330.0
2AE196291A0513A3E055000000000001,2022_Population,329.0
2AE19629188813A3E055000000000001,2022_Population,624.0
2AE1962919D713A3E055000000000001,2022_Population,158.0
2AE196291BAE13A3E055000000000001,2022_Population,586.0
2AE196291B1913A3E055000000000001,2022_Population,2009.0
2AE1962923C813A3E055000000000001,2022_Population,213.0
2AE196291DA313A3E055000000000001,2022_Population,3265.0
2AE1962917DF13A3E055000000000001,2022_Population,3020.0
2AE19629224413A3E055000000000001,2022_Population,380.0
2AE196291AE413A3E055000000000001,2022_Population,1587.0
2AE196291D1D13A3E055000000000001,2022_Population,1533.0
2AE19629211113A3E055000000000001,2022_Population,790.0
2AE1962923BB13A3E055000000000001,2022_Population,160.0
2AE19629184013A3E055000000000001,2022_Population,597.0
2AE196291D1B13A3E055000000000001,2022_Population,3357.0
2AE19629172513A3E055000000000001,2022_Population,358.0
2AE196291D0513A3E055000000000001,2022_Population,3933.0
2AE196291BB013A3E055000000000001,2022_Population,399.0
2AE19629195C13A3E055000000000001,2022_Population,759.0
2AE196291DDE13A3E055000000000001,2022_Population,16656.0
2AE196291B7813A3E055000000000001,2022_Population,385.0
2AE196291B9113A3E055000000000001,2022_Population,296.0
2AE196291C5213A3E055000000000001,2022_Population,928.0
2AE1962919CB13A3E055000000000001,2022_Population,815.0
2AE19629202813A3E055000000000001,2022_Population,98.0
2AE196291FB513A3E055000000000001,2022_Population,303.0
2AE196291E0713A3E055000000000001,2022_Population,2027.0
2AE19629180813A3E055000000000001,2022_Population,500.0
2AE196291B0D13A3E055000000000001,2022_Population,480.0
2AE196291F4E13A3E055000000000001,2022_Population,684.0
2AE19629187313A3E055000000000001,2022_Population,857.0
2AE19629191913A3E055000000000001,2022_Population,181.0
2AE196291C9113A3E055000000000001,2022_Population,1212.0
2AE1962917F013A3E055000000000001,2022_Population,694.0
2AE1962916F113A3E055000000000001,2022_Population,94.0
2AE19629237113A3E055000000000001,2022_Population,2276.0
2AE196291E7213A3E055000000000001,2022_Population,1543.0
2AE1962923D913A3E055000000000001,2022_Population,691.0
2AE1962923FB13A3E055000000000001,2022_Population,496.0
2AE196291C3113A3E055000000000001,2022_Population,480.0
2AE1962916D013A3E055000000000001,2022_Population,234.0
2AE1962917FF13A3E055000000000001,2022_Population,1172.0
2AE19629188513A3E055000000000001,2022_Population,279.0
2AE19629231B13A3E055000000000001,2022_Population,790.0
2AE19629202113A3E055000000000001,2022_Population,483.0
2AE196291FEA13A3E055000000000001,2022_Population,205.0
2AE19629220513A3E055000000000001,2022_Population,476.0
2AE196291FAD13A3E055000000000001,2022_Population,1759.0
3576C5999C144152E0530100007F0280,2022_Population,376.0
2AE196291AE213A3E055000000000001,2022_Population,696.0
2AE196291E0913A3E055000000000001,2022_Population,3123.0
2AE196291F0B13A3E055000000000001,2022_Population,503.0
2AE19629194713A3E055000000000001,2022_Population,890.0
2AE196291B3813A3E055000000000001,2022_Population,253.0
3576C5999B174152E0530100007F0280,2022_Population,116.0
2AE19629221F13A3E055000000000001,2022_Population,5741.0
2AE196291D4713A3E055000000000001,2022_Population,1736.0
2AE196291E5D13A3E055000000000001,2022_Population,4215.0
2AE196291CE613A3E055000000000001,2022_Population,2940.0
2AE1962917D513A3E055000000000001,2022_Population,935.0
2AE1962921C713A3E055000000000001,2022_Population,10048.0
2AE19629223813A3E055000000000001,2022_Population,106.0
2AE19629222E13A3E055000000000001,2022_Population,848.0
2AE19629198513A3E055000000000001,2022_Population,325.0
2AE1962922DE13A3E055000000000001,2022_Population,446.0
2AE1962921B413A3E055000000000001,2022_Population,2983.0
2AE19629213313A3E055000000000001,2022_Population,634.0
2AE19629184D13A3E055000000000001,2022_Population,281.0
2AE19629210313A3E055000000000001,2022_Population,389.0
2AE1962918D613A3E055000000000001,2022_Population,2374.0
2AE19629203013A3E055000000000001,2022_Population,579.0
2AE1962923F413A3E055000000000001,2022_Population,727.0
2AE1962922DF13A3E055000000000001,2022_Population,4708.0
2AE196291F1813A3E055000000000001,2022_Population,20538.0
2AE19629203B13A3E055000000000001,2022_Population,660.0
2AE196291B7A13A3E055000000000001,2022_Population,240.0
2AE196291AAE13A3E055000000000001,2022_Population,365.0
2AE19629221C13A3E055000000000001,2022_Population,309.0
2AE19629184F13A3E055000000000001,2022_Population,540.0
2AE196291E8E13A3E055000000000001,2022_Population,335.0
2AE196291E6313A3E055000000000001,2022_Population,1237.0
2AE196291C3813A3E055000000000001,2022_Population,297.0
