"Statistic Label","Age Group","Nationality","CensusYear","UNIT","VALUE"
"2002 Population Usually Resident and Present in the State","All ages","All Irish","2002","Number","3584975"
"2002 Population Usually Resident and Present in the State","All ages","Irish","2002","Number","3535676"
"2002 Population Usually Resident and Present in the State","All ages","Irish-English","2002","Number","20491"
"2002 Population Usually Resident and Present in the State","All ages","Irish-American","2002","Number","12387"
"2002 Population Usually Resident and Present in the State","All ages","Irish-European","2002","Number","4172"
"2002 Population Usually Resident and Present in the State","All ages","Irish-Other","2002","Number","12249"
"2002 Population Usually Resident and Present in the State","All ages","Non-Irish","2002","Number","224261"
"2002 Population Usually Resident and Present in the State","All ages","EU15 excluding Irish","2002","Number","133436"
"2002 Population Usually Resident and Present in the State","All ages","UK (1)","2002","Number","103476"
"2002 Population Usually Resident and Present in the State","All ages","Austrian","2002","Number","553"
"2002 Population Usually Resident and Present in the State","All ages","Belgian","2002","Number","789"
"2002 Population Usually Resident and Present in the State","All ages","Danish","2002","Number","631"
"2002 Population Usually Resident and Present in the State","All ages","Finnish","2002","Number","876"
"2002 Population Usually Resident and Present in the State","All ages","French","2002","Number","6363"
"2002 Population Usually Resident and Present in the State","All ages","German","2002","Number","7216"
"2002 Population Usually Resident and Present in the State","All ages","Greek","2002","Number","253"
"2002 Population Usually Resident and Present in the State","All ages","Italian","2002","Number","3770"
"2002 Population Usually Resident and Present in the State","All ages","Luxembourger","2002","Number","16"
"2002 Population Usually Resident and Present in the State","All ages","Dutch","2002","Number","3108"
"2002 Population Usually Resident and Present in the State","All ages","Portuguese","2002","Number","687"
"2002 Population Usually Resident and Present in the State","All ages","Spanish","2002","Number","4436"
"2002 Population Usually Resident and Present in the State","All ages","Swedish","2002","Number","1262"
"2002 Population Usually Resident and Present in the State","All ages","Other European (9)","2002","Number","23105"
"2002 Population Usually Resident and Present in the State","All ages","Czech","2002","Number","1103"
"2002 Population Usually Resident and Present in the State","All ages","Latvian","2002","Number","1797"
"2002 Population Usually Resident and Present in the State","All ages","Lithuanian","2002","Number","2104"
